服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.85,//shop405036543.taobao.com,服饰鞋包,4.88,128,405036543,花月锦企业店,76,4.83,//rate.taobao.com/user-rate-UvCkWMCx0OmISMgTT.htm,深圳市花月锦服饰有限公司,,99.48%
4.88,//shop152464515.taobao.com,服饰鞋包,4.82,128,152464515,zyn服饰888,29,4.86,//rate.taobao.com/user-rate-UvCgYMCHbvmxYOQTT.htm,米兰有限服饰,,98.15%
4.75,//shop104728589.taobao.com,服饰鞋包,4.69,38,104728589,璀璨如女子,32,4.69,//rate.taobao.com/user-rate-UvFcyMFkYvmNyMNTT.htm,NOVA自制 AliceFiona闺蜜设计师的私家高级定制 设计师女装,,98.66%
4.77,//shop109593447.taobao.com,服饰鞋包,4.71,65,109593447,妖姬de衣橱_2014,170,4.77,//rate.taobao.com/user-rate-UvCNGvmvLvGNLvNTT.htm,妖姬de衣橱,,98.39%
4.39,//shop107810271.taobao.com,服饰鞋包,4.04,308,107810271,宋朝大叔,40,4.49,//rate.taobao.com/user-rate-UvFkYvmvbMGkWvWTT.htm,可可里小姐Y头日系yy潮流韩版女装,,97.70%
4.62,//shop104509418.taobao.com,服饰鞋包,4.55,352,104509418,韩美伊服饰,43,4.64,//rate.taobao.com/user-rate-UvFcYvmIGvCcGOQTT.htm,皇冠信誉质量保证,,94.79%
4.73,//shop68891297.taobao.com,服饰鞋包,4.6,27,68891297,米诗嘉服饰,140,4.76,//rate.taobao.com/user-rate-UMGxYvFguMFNy.htm,轻文艺原创设计,安徽 合肥,98.11%
4.81,//shop100389407.taobao.com,服饰鞋包,4.75,119,100389407,730sir,99,4.81,//rate.taobao.com/user-rate-UvFNGvG84MmkGvNTT.htm,TOTOStudio,,99.41%
4.84,//shop57228803.taobao.com,服饰鞋包,4.84,204,57228803,衣店缘_007,33,4.84,//rate.taobao.com/user-rate-UvFkWOmN0vmkL.htm,六月潮店,浙江 温州,99.10%
4.75,//shop63125243.taobao.com,服饰鞋包,4.72,18,63125243,炫出幸福,16,4.69,//rate.taobao.com/user-rate-UMFQuMm8LvCgW.htm,衣缘客,山东 青岛,98.55%
4.8,//shop103212000.taobao.com,服饰鞋包,4.74,18,103212000,欧美范儿服饰,220,4.82,//rate.taobao.com/user-rate-UvFxbvFNYOmk0vWTT.htm,洋城故事 网红潮店,上海,97.00%
5,//shop420768949.taobao.com,服饰鞋包,5,12,420768949,命里有时9527,89,5,//rate.taobao.com/user-rate-UvGNYMGx4MCxSvgTT.htm,恋裳淘依坊精品女装,,100.00%
4.82,//shop162302895.taobao.com,服饰鞋包,4.76,233,162302895,暖芙珈服饰,107,4.81,//rate.taobao.com/user-rate-UvCkYvmkWMGk4ONTT.htm,暖芙珈服饰,,97.55%
4.45,//shop111215688.taobao.com,服饰鞋包,4.35,305,111215688,美好明天_6237,1485,4.47,//rate.taobao.com/user-rate-UvCHYMmkuMF8bOQTT.htm,批发美女装,,90.50%
